condition,subject,sub_task,block,acc
4F4K_congruent,39,2,7,0.5625
4F4K_congruent,39,2,8,0.6
4F4K_congruent,39,2,9,0.7142857142857143
4F4K_congruent,39,2,10,0.5384615384615384
4F4K_congruent,39,2,11,0.7692307692307693
4F4K_congruent,39,2,12,0.5
4F4K_congruent,39,2,13,0.6153846153846154
4F4K_congruent,39,2,14,0.5625
4F4K_congruent,39,2,15,0.75
4F4K_congruent,43,1,0,0.7272727272727273
4F4K_congruent,43,1,1,0.6363636363636364
4F4K_congruent,43,1,2,0.75
4F4K_congruent,43,1,3,0.7777777777777778
4F4K_congruent,43,1,4,0.5
4F4K_congruent,43,1,5,0.7857142857142857
4F4K_congruent,43,1,6,0.8888888888888888
4F4K_congruent,43,1,7,0.8125
4F4K_congruent,43,1,8,0.7
4F4K_congruent,43,1,9,0.8571428571428571
4F4K_congruent,43,1,10,0.9230769230769231
4F4K_congruent,43,1,11,0.8571428571428571
4F4K_congruent,43,1,12,0.9090909090909091
4F4K_congruent,43,1,13,0.8666666666666667
4F4K_congruent,43,1,14,0.7857142857142857
4F4K_congruent,43,1,15,0.7692307692307693
4F4K_congruent,43,2,0,0.6428571428571429
4F4K_congruent,43,2,1,0.7142857142857143
4F4K_congruent,43,2,2,0.6666666666666666
4F4K_congruent,43,2,3,0.625
4F4K_congruent,43,2,4,0.6153846153846154
4F4K_congruent,43,2,5,0.9090909090909091
4F4K_congruent,43,2,6,0.8125
4F4K_congruent,43,2,7,0.8888888888888888
4F4K_congruent,43,2,8,0.6666666666666666
4F4K_congruent,43,2,9,0.45454545454545453
4F4K_congruent,43,2,10,0.6666666666666666
4F4K_congruent,43,2,11,0.7272727272727273
4F4K_congruent,43,2,12,0.7857142857142857
4F4K_congruent,43,2,13,0.9
4F4K_congruent,43,2,14,1.0
4F4K_congruent,43,2,15,0.5454545454545454
4F4K_congruent,47,1,0,0.4166666666666667
4F4K_congruent,47,1,1,0.6
4F4K_congruent,47,1,2,0.6
4F4K_congruent,47,1,3,0.7
4F4K_congruent,47,1,4,1.0
4F4K_congruent,47,1,5,0.7647058823529411
4F4K_congruent,47,1,6,0.7333333333333333
4F4K_congruent,47,1,7,0.8888888888888888
4F4K_congruent,47,1,8,0.7272727272727273
4F4K_congruent,47,1,9,0.9230769230769231
4F4K_congruent,47,1,10,0.9166666666666666
4F4K_congruent,47,1,11,1.0
4F4K_congruent,47,1,12,0.8666666666666667
4F4K_congruent,47,1,13,0.8823529411764706
4F4K_congruent,47,1,14,1.0
4F4K_congruent,47,1,15,0.9375
4F4K_congruent,47,2,0,0.46153846153846156
4F4K_congruent,47,2,1,0.5
4F4K_congruent,47,2,2,0.6
4F4K_congruent,47,2,3,0.8
4F4K_congruent,47,2,4,0.9
4F4K_congruent,47,2,5,1.0
4F4K_congruent,47,2,6,1.0
4F4K_congruent,47,2,7,0.75
4F4K_congruent,47,2,8,1.0
4F4K_congruent,47,2,9,0.6666666666666666
4F4K_congruent,47,2,10,0.9230769230769231
4F4K_congruent,47,2,11,0.9230769230769231
