experiment,condition,subject,block,phase,acc
1,new_learn,33,7,Learn,0.64
1,new_learn,33,8,Learn,0.52
1,new_learn,33,9,Learn,0.64
1,new_learn,33,10,Learn,0.52
1,new_learn,33,11,Learn,0.68
1,new_learn,33,12,Intervention,0.4
1,new_learn,33,13,Intervention,0.52
1,new_learn,33,14,Intervention,0.68
1,new_learn,33,15,Intervention,0.32
1,new_learn,33,16,Intervention,0.36
1,new_learn,33,17,Intervention,0.44
1,new_learn,33,18,Intervention,0.4
1,new_learn,33,19,Intervention,0.24
1,new_learn,33,20,Intervention,0.48
1,new_learn,33,21,Intervention,0.72
1,new_learn,33,22,Intervention,0.56
1,new_learn,33,23,Intervention,0.44
1,new_learn,33,24,Test,0.56
1,new_learn,33,25,Test,0.56
1,new_learn,33,26,Test,0.48
1,new_learn,33,27,Test,0.56
1,new_learn,33,28,Test,0.32
1,new_learn,33,29,Test,0.6
1,new_learn,33,30,Test,0.52
1,new_learn,33,31,Test,0.36
1,new_learn,33,32,Test,0.72
1,new_learn,33,33,Test,0.4
1,new_learn,33,34,Test,0.4
1,new_learn,33,35,Test,0.5
1,new_learn,38,0,Learn,0.52
1,new_learn,38,1,Learn,0.64
1,new_learn,38,2,Learn,0.8
1,new_learn,38,3,Learn,0.52
1,new_learn,38,4,Learn,0.76
1,new_learn,38,5,Learn,0.68
1,new_learn,38,6,Learn,0.72
1,new_learn,38,7,Learn,1.0
1,new_learn,38,8,Learn,0.92
1,new_learn,38,9,Learn,0.88
1,new_learn,38,10,Learn,0.84
1,new_learn,38,11,Learn,0.8
1,new_learn,38,12,Intervention,0.76
1,new_learn,38,13,Intervention,0.72
1,new_learn,38,14,Intervention,0.88
1,new_learn,38,15,Intervention,0.68
1,new_learn,38,16,Intervention,0.72
1,new_learn,38,17,Intervention,0.56
1,new_learn,38,18,Intervention,0.52
1,new_learn,38,19,Intervention,0.64
1,new_learn,38,20,Intervention,0.44
1,new_learn,38,21,Intervention,0.48
1,new_learn,38,22,Intervention,0.64
1,new_learn,38,23,Intervention,0.64
1,new_learn,38,24,Test,0.72
1,new_learn,38,25,Test,0.64
1,new_learn,38,26,Test,0.84
1,new_learn,38,27,Test,0.84
1,new_learn,38,28,Test,0.88
1,new_learn,38,29,Test,0.76
1,new_learn,38,30,Test,0.84
1,new_learn,38,31,Test,0.84
1,new_learn,38,32,Test,0.8
1,new_learn,38,33,Test,0.84
1,new_learn,38,34,Test,0.64
1,new_learn,38,35,Test,0.9166666666666666
1,new_learn,40,0,Learn,0.68
1,new_learn,40,1,Learn,0.68
1,new_learn,40,2,Learn,0.92
1,new_learn,40,3,Learn,0.72
1,new_learn,40,4,Learn,0.84
1,new_learn,40,5,Learn,0.88
1,new_learn,40,6,Learn,0.84
1,new_learn,40,7,Learn,0.96
1,new_learn,40,8,Learn,0.88
1,new_learn,40,9,Learn,0.84
1,new_learn,40,10,Learn,0.84
1,new_learn,40,11,Learn,0.6
1,new_learn,40,12,Intervention,0.72
1,new_learn,40,13,Intervention,0.68
1,new_learn,40,14,Intervention,0.52
1,new_learn,40,15,Intervention,0.44
1,new_learn,40,16,Intervention,0.8
1,new_learn,40,17,Intervention,0.4
1,new_learn,40,18,Intervention,0.64
1,new_learn,40,19,Intervention,0.6
1,new_learn,40,20,Intervention,0.76
1,new_learn,40,21,Intervention,0.6
1,new_learn,40,22,Intervention,0.4
1,new_learn,40,23,Intervention,0.64
1,new_learn,40,24,Test,0.44
1,new_learn,40,25,Test,0.44
1,new_learn,40,26,Test,0.56
1,new_learn,40,27,Test,0.6
1,new_learn,40,28,Test,0.68
1,new_learn,40,29,Test,0.64
1,new_learn,40,30,Test,0.52
1,new_learn,40,31,Test,0.6
1,new_learn,40,32,Test,0.56
1,new_learn,40,33,Test,0.72
1,new_learn,40,34,Test,0.36
1,new_learn,40,35,Test,0.4166666666666667
1,relearn,1,0,Learn,0.52
1,relearn,1,1,Learn,0.52
1,relearn,1,2,Learn,0.64
1,relearn,1,3,Learn,0.4
1,relearn,1,4,Learn,0.64
1,relearn,1,5,Learn,0.68
1,relearn,1,6,Learn,0.84
1,relearn,1,7,Learn,0.64
1,relearn,1,8,Learn,0.76
1,relearn,1,9,Learn,0.6
1,relearn,1,10,Learn,0.64
1,relearn,1,11,Learn,0.8
1,relearn,1,12,Intervention,0.68
1,relearn,1,13,Intervention,0.72
1,relearn,1,14,Intervention,0.56
1,relearn,1,15,Intervention,0.72
1,relearn,1,16,Intervention,0.68
1,relearn,1,17,Intervention,0.68
1,relearn,1,18,Intervention,0.76
1,relearn,1,19,Intervention,0.56
1,relearn,1,20,Intervention,0.48
1,relearn,1,21,Intervention,0.6
1,relearn,1,22,Intervention,0.56
1,relearn,1,23,Intervention,0.52
1,relearn,1,24,Test,0.6
1,relearn,1,25,Test,0.72
1,relearn,1,26,Test,0.56
1,relearn,1,27,Test,0.84
1,relearn,1,28,Test,0.68
1,relearn,1,29,Test,0.72
1,relearn,1,30,Test,0.72
1,relearn,1,31,Test,0.76
1,relearn,1,32,Test,0.84
1,relearn,1,33,Test,0.56
1,relearn,1,34,Test,0.68
1,relearn,1,35,Test,0.7083333333333334
1,relearn,3,0,Learn,0.44
1,relearn,3,1,Learn,0.56
1,relearn,3,2,Learn,0.64
1,relearn,3,3,Learn,0.68
1,relearn,3,4,Learn,0.76
1,relearn,3,5,Learn,0.72
1,relearn,3,6,Learn,0.64
1,relearn,3,7,Learn,0.6
1,relearn,3,8,Learn,0.76
1,relearn,3,9,Learn,0.8
1,relearn,3,10,Learn,0.6
1,relearn,3,11,Learn,0.6
1,relearn,3,12,Intervention,0.68
1,relearn,3,13,Intervention,0.28
1,relearn,3,14,Intervention,0.4
1,relearn,3,15,Intervention,0.32
1,relearn,3,16,Intervention,0.48
1,relearn,3,17,Intervention,0.4
1,relearn,3,18,Intervention,0.44
1,relearn,3,19,Intervention,0.52
1,relearn,3,20,Intervention,0.72
1,relearn,3,21,Intervention,0.68
1,relearn,3,22,Intervention,0.6
1,relearn,3,23,Intervention,0.56
1,relearn,3,24,Test,0.56
1,relearn,3,25,Test,0.88
1,relearn,3,26,Test,0.64
1,relearn,3,27,Test,0.68
1,relearn,3,28,Test,0.6
1,relearn,3,29,Test,0.56
1,relearn,3,30,Test,0.64
1,relearn,3,31,Test,0.6
1,relearn,3,32,Test,0.6
1,relearn,3,33,Test,0.64
1,relearn,3,34,Test,0.68
1,relearn,3,35,Test,0.625
1,relearn,5,0,Learn,0.68
1,relearn,5,1,Learn,0.84
1,relearn,5,2,Learn,0.68
1,relearn,5,3,Learn,0.76
1,relearn,5,4,Learn,0.68
1,relearn,5,5,Learn,0.84
1,relearn,5,6,Learn,0.84
1,relearn,5,7,Learn,0.76
1,relearn,5,8,Learn,0.92
1,relearn,5,9,Learn,0.8
1,relearn,5,10,Learn,0.8
1,relearn,5,11,Learn,0.84
1,relearn,5,12,Intervention,0.76
1,relearn,5,13,Intervention,0.56
1,relearn,5,14,Intervention,0.56
1,relearn,5,15,Intervention,0.6
1,relearn,5,16,Intervention,0.52
1,relearn,5,17,Intervention,0.44
1,relearn,5,18,Intervention,0.56
1,relearn,5,19,Intervention,0.52
1,relearn,5,20,Intervention,0.52
1,relearn,5,21,Intervention,0.4
1,relearn,5,22,Intervention,0.52
1,relearn,5,23,Intervention,0.52
1,relearn,5,24,Test,0.36
1,relearn,5,25,Test,0.36
1,relearn,5,26,Test,0.76
